gfsCode,revStreamName,agencyName,companyName,year,payment,paymentUSD
1422E,Stamp fee paid to local budget,Not available,SBF,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,SBF,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,SBF,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,SBF,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",SBF,2012,492e3,364.4633425436874
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",SBF,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,SBF,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,SBF,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,SBF,2012,4e6,2963.116606046239
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Esto,2012,0,0
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Esto,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Esto,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Esto,2012,0,0
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Esto,2012,0,0
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Esto,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Esto,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Esto,2012,0,0
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Esto,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Esto,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Esto,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Esto,2012,1e5,74.07791515115598
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Esto,2012,0,0
1151E,1.1.2 Customs tax,Customs Office,Esto,2012,0,0
116E,1.6.4 Other (State Budget),Other,Esto,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Esto,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Esto,2012,0,0
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Esto,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Esto,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Esto,2012,0,0
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Esto,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Esto,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Esto,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Esto,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Esto,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Esto,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Esto,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Esto,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Esto,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Esto,2012,0,0
1421E,Service charges paid to local administration,Not available,Esto,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Esto,2012,9e6,6667.012363604038
1421E,Service fee for foreign experts and workers,Not available,Esto,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Esto,2012,628e3,465.2093071492596
1422E,1.3.1 Customs service fee,Customs Office,Esto,2012,0,0
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Esto,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Esto,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Esto,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Esto,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Esto,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Esto,2012,0,0
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Esto,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Esto,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Esto,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Esto,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Universal Resources,2012,17581e3,13023.638262724733
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Universal Resources,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Universal Resources,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Universal Resources,2012,5e5,370.3895757557799
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Universal Resources,2012,34434e3,25507.98930314905
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Universal Resources,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Universal Resources,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Universal Resources,2012,11e5,814.8570666627159
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Universal Resources,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Universal Resources,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Universal Resources,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Universal Resources,2012,0,0
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Universal Resources,2012,304e3,225.1968620595142
1151E,1.1.2 Customs tax,Customs Office,Universal Resources,2012,706e3,522.9900809671612
116E,1.6.4 Other (State Budget),Other,Universal Resources,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Universal Resources,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Universal Resources,2012,98201e3,72745.25345758669
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Universal Resources,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Universal Resources,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Universal Resources,2012,0,0
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Universal Resources,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Universal Resources,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Universal Resources,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Universal Resources,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Universal Resources,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Universal Resources,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Universal Resources,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Universal Resources,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Universal Resources,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Universal Resources,2012,0,0
1421E,Service charges paid to local administration,Not available,Universal Resources,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Universal Resources,2012,115e4,851.8960242382938
1421E,Service fee for foreign experts and workers,Not available,Universal Resources,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Universal Resources,2012,54843e3,40626.551006348476
1422E,1.3.1 Customs service fee,Customs Office,Universal Resources,2012,7e3,5.185454060580919
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Universal Resources,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Universal Resources,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Universal Resources,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Universal Resources,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Universal Resources,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Universal Resources,2012,0,0
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Universal Resources,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Universal Resources,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Universal Resources,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Universal Resources,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Zaraiya Holdings,2012,1126e4,8341.173246020164
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Zaraiya Holdings,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Zaraiya Holdings,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Zaraiya Holdings,2012,0,0
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Zaraiya Holdings,2012,0,0
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Zaraiya Holdings,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Zaraiya Holdings,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Zaraiya Holdings,2012,1e6,740.7791515115598
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Zaraiya Holdings,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Zaraiya Holdings,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Zaraiya Holdings,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Zaraiya Holdings,2012,8e5,592.6233212092478
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Zaraiya Holdings,2012,1225e3,907.4544606016608
1151E,1.1.2 Customs tax,Customs Office,Zaraiya Holdings,2012,0,0
116E,1.6.4 Other (State Budget),Other,Zaraiya Holdings,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Zaraiya Holdings,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Zaraiya Holdings,2012,40289e3,29845.251235249234
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Zaraiya Holdings,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Zaraiya Holdings,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Zaraiya Holdings,2012,0,0
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Zaraiya Holdings,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Zaraiya Holdings,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Zaraiya Holdings,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Zaraiya Holdings,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Zaraiya Holdings,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Zaraiya Holdings,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Zaraiya Holdings,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Zaraiya Holdings,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Zaraiya Holdings,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Zaraiya Holdings,2012,0,0
1421E,Service charges paid to local administration,Not available,Zaraiya Holdings,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Zaraiya Holdings,2012,0,0
1421E,Service fee for foreign experts and workers,Not available,Zaraiya Holdings,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Zaraiya Holdings,2012,311229e3,230551.95454579126
1422E,1.3.1 Customs service fee,Customs Office,Zaraiya Holdings,2012,0,0
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Zaraiya Holdings,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Zaraiya Holdings,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Zaraiya Holdings,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Zaraiya Holdings,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Zaraiya Holdings,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Zaraiya Holdings,2012,702e3,520.026964361115
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Zaraiya Holdings,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Zaraiya Holdings,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Zaraiya Holdings,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Zaraiya Holdings,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Cogegobi,2012,1988080,1472.728215537102
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Cogegobi,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Cogegobi,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Cogegobi,2012,546e3,404.4654167253117
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Cogegobi,2012,96003e3,71117.02088256428
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Cogegobi,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Cogegobi,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Cogegobi,2012,212e4,1570.4518012045069
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Cogegobi,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Cogegobi,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Cogegobi,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Cogegobi,2012,8144e4,60329.054099101435
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Cogegobi,2012,4794e3,3551.295252346418
1151E,1.1.2 Customs tax,Customs Office,Cogegobi,2012,4563e4,33801.75268347248
116E,1.6.4 Other (State Budget),Other,Cogegobi,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Cogegobi,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Cogegobi,2012,723027e3,535603.3275799486
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Cogegobi,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Cogegobi,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Cogegobi,2012,0,0
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Cogegobi,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Cogegobi,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Cogegobi,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Cogegobi,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Cogegobi,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Cogegobi,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Cogegobi,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Cogegobi,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Cogegobi,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Cogegobi,2012,0,0
1421E,Service charges paid to local administration,Not available,Cogegobi,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Cogegobi,2012,0,0
1421E,Service fee for foreign experts and workers,Not available,Cogegobi,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Cogegobi,2012,1464284420,1084711.3702191964
1422E,1.3.1 Customs service fee,Customs Office,Cogegobi,2012,0,0
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Cogegobi,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Cogegobi,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Cogegobi,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Cogegobi,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Cogegobi,2012,58406e3,43265.94712318416
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Cogegobi,2012,2808e3,2080.10785744446
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Cogegobi,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Cogegobi,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Cogegobi,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Cogegobi,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Petrochina Daqing Tamtsag,2012,0,0
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Petrochina Daqing Tamtsag,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Petrochina Daqing Tamtsag,2012,8977e3,6649.974443119272
113E,2.2.1 Land fee,Local Department of Taxation,Petrochina Daqing Tamtsag,2012,39e4,288.9038690895083
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Petrochina Daqing Tamtsag,2012,373268e3,276509.1523264169
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Petrochina Daqing Tamtsag,2012,35699e3,26445.074929811173
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Petrochina Daqing Tamtsag,2012,466901e3,345870.5266198988
114521E,2.2.2 Fee for water use,Local Department of Taxation,Petrochina Daqing Tamtsag,2012,76971e3,57018.51207099627
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Petrochina Daqing Tamtsag,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Petrochina Daqing Tamtsag,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Petrochina Daqing Tamtsag,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Petrochina Daqing Tamtsag,2012,0,0
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Petrochina Daqing Tamtsag,2012,38647e3,28628.891868467254
1151E,1.1.2 Customs tax,Customs Office,Petrochina Daqing Tamtsag,2012,181099e3,134154.36355959196
116E,1.6.4 Other (State Budget),Other,Petrochina Daqing Tamtsag,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Petrochina Daqing Tamtsag,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Petrochina Daqing Tamtsag,2012,451485e3,334450.6752201966
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Petrochina Daqing Tamtsag,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Petrochina Daqing Tamtsag,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Petrochina Daqing Tamtsag,2012,0,0
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Petrochina Daqing Tamtsag,2012,3038e5,225048.70622921188
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Petrochina Daqing Tamtsag,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Petrochina Daqing Tamtsag,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Petrochina Daqing Tamtsag,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Petrochina Daqing Tamtsag,2012,100885111e3,74733586.92672953
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Petrochina Daqing Tamtsag,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Petrochina Daqing Tamtsag,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Petrochina Daqing Tamtsag,2012,144197e3,106818.1313105124
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Petrochina Daqing Tamtsag,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Petrochina Daqing Tamtsag,2012,69567e3,51533.78323320468
1421E,Service charges paid to local administration,Not available,Petrochina Daqing Tamtsag,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Petrochina Daqing Tamtsag,2012,146e4,1081.5375612068774
1421E,Service fee for foreign experts and workers,Not available,Petrochina Daqing Tamtsag,2012,1269e3,940.0487432681695
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Petrochina Daqing Tamtsag,2012,0,0
1422E,1.3.1 Customs service fee,Customs Office,Petrochina Daqing Tamtsag,2012,14293e4,105879.56412554724
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Petrochina Daqing Tamtsag,2012,18e5,1333.4024727208077
1422E,Stamp fee paid to local budget,Not available,Petrochina Daqing Tamtsag,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Petrochina Daqing Tamtsag,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Petrochina Daqing Tamtsag,2012,1670478e3,1237455.2754587275
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Petrochina Daqing Tamtsag,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Petrochina Daqing Tamtsag,2012,2e6,1481.5583030231196
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Petrochina Daqing Tamtsag,2012,12562e3,9305.667701288214
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Petrochina Daqing Tamtsag,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Petrochina Daqing Tamtsag,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Petrochina Daqing Tamtsag,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Dongsheng Petroleum Mongolia,2012,5533e3,4098.7310453134605
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Dongsheng Petroleum Mongolia,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Dongsheng Petroleum Mongolia,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Dongsheng Petroleum Mongolia,2012,0,0
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Dongsheng Petroleum Mongolia,2012,0,0
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Dongsheng Petroleum Mongolia,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Dongsheng Petroleum Mongolia,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Dongsheng Petroleum Mongolia,2012,718e4,5318.794307853
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Dongsheng Petroleum Mongolia,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Dongsheng Petroleum Mongolia,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Dongsheng Petroleum Mongolia,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Dongsheng Petroleum Mongolia,2012,0,0
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Dongsheng Petroleum Mongolia,2012,6361e3,4712.096182765032
1151E,1.1.2 Customs tax,Customs Office,Dongsheng Petroleum Mongolia,2012,0,0
116E,1.6.4 Other (State Budget),Other,Dongsheng Petroleum Mongolia,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Dongsheng Petroleum Mongolia,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Dongsheng Petroleum Mongolia,2012,0,0
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Dongsheng Petroleum Mongolia,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Dongsheng Petroleum Mongolia,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Dongsheng Petroleum Mongolia,2012,0,0
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Dongsheng Petroleum Mongolia,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Dongsheng Petroleum Mongolia,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Dongsheng Petroleum Mongolia,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Dongsheng Petroleum Mongolia,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Dongsheng Petroleum Mongolia,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Dongsheng Petroleum Mongolia,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Dongsheng Petroleum Mongolia,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Dongsheng Petroleum Mongolia,2012,0,0
